"","Climber","Born","Gender","Nationality"
"1","Adam Ondra","1993-02-05","M","Czechia"
"2","Alessandro Zeni","1991","M","Italy"
"3","Alexander Huber","1968-12-30","M","Germany"
"4","Alexander Megos","1993-08-12","M","Germany"
"5","Anak Verhoeven","1996-07-15","F","Belgium"
"6","Andreas Bindhammer","1973-04-16","M","Germany"
"7","Andrew Palmer","1987-05-30","M","United States"
"8","Angela Eiter","1986-01-27","F","Austria"
"9","Arthur Kubista","1964-10-31","M","Austria"
"10","Baptiste Dherbilly","1993-05-26","M","France"
"11","Bernabé Fernández","1974","M","Spain"
"12","Buster Martin","1996-07-21","M","United Kingdom"
"13","Cédric Lachat","1984-08-17","M","Switzerland"
"14","Chris Sharma","1981-04-23","M","United States"
"15","Dai Koyamada","1976-08-23","M","Japan"
"16","Dani Andrada","1975-07-15","M","Spain"
"17","Daniel Fuertes","1980-03-10","M","Spain"
"18","Daniel Jung","1983-11-16","M","Germany"
"19","Daniel Woods","1989-08-01","M","United States"
"20","Danilo Pereyra","1983-01-07","M","Argentina"
"21","Dave Graham","1981-11-10","M","United States"
"22","David Firnenburg","1995-05-28","M","Germany"
"23","David Gambús","1984-09-18","M","Spain"
"24","Davide Picco","1992-11-30","M","Italy"
"25","Dimitri Sharafutdinov","1986-09-16","M","Russia"
"26","Domen Skofic","1994-04-11","M","Slovenia"
"27","Edu Marin","1985-08-13","M","Spain"
"28","Enzo Oddo","1995-02-22","M","France"
"29","Eric Albertini","1986","M","Italy"
"30","Ethan Pringle","1986-05-30","M","United States"
"31","Felipe Camargo","1991-04-27","M","Brazil"
"32","Felix Neumärker","1988-11-13","M","Germany"
"33","Fred Rouhling","1970-01-24","M","France"
"34","Gabriele Moroni","1987-09-20","M","Italy"
"35","Gerard Rull","1988","M","Spain"
"36","Gérôme Pouvreau","1983-10-26","M","France"
"37","Gonzalo Larrocha","1984-08-20","M","Spain"
"38","Hugo Parmentier","1998-06-07","M","France"
"39","Iker Pou","1977-02-05","M","Spain"
"40","Jacopo Larcher","","M","Italy"
"41","Jakob Schubert","1990-12-31","M","Austria"
"42","Jakub Konecny","1999","M","Czechia"
"43","James Litz","","M","United States"
"44","Jan Hojer","1992-02-09","M","Germany"
"45","Jernej Kruder","1990-12-05","M","Slovenia"
"46","Joe Kinder","1980-04-12","M","United States"
"47","John Gaskins","","M","United Kingdom"
"48","Jon Cardwell","1989-03-12","M","United States"
"49","Jonatan Flor","1996-08-20","M","Spain"
"50","Jonathan Guadalcázar","1993-11-17","M","Spain"
"51","Jonathan Siegrist","1985-08-27","M","United States"
"52","Jorge Díaz-Rullo","1999-10-01","M","Spain"
"53","Jose Luis Palao","1995","M","Spain"
"54","Julia Chanourdie","1996-06-25","F","France"
"55","Kamil Ferenc","1991","M","Polen"
"56","Klemen Becan","1982-08-14","M","Slovenia"
"57","Laura Rogora","2001-04-28","F","Italy"
"58","Loïc Zehani","2001-12-05","M","France"
"59","Luis Alfonso Felix","","M","Spain"
"60","Magnus Midtbø","1988-09-18","M","Norway"
"61","Margo Hayes","1998-02-11","F","United States"
"62","Markus Bock","1979-02-13","M","Germany"
"63","Mateusz Haladaj","1985-11-17","M","Poland"
"64","Mathieu Bouyoud","1989-10-09","M","France"
"65","Matty Hong","1991-09-14","M","United States"
"66","Mike Foley","1990-07-02","M","United States"
"67","Pablo Barbero","1981-04-20","M","Spain"
"68","Patxi Usobiaga","1980-09-07","M","Spain"
"69","Paul Robinson","1987-08-28","M","United States"
"70","Piotr Schab","1996-08-26","M","Poland"
"71","Pirmin Bertle","1985-05-29","M","Germany"
"72","Ramón Julián Puigblanqué","1981-11-09","M","Spain"
"73","Roland Hemetzberger","1990-12-17","M","Germany"
"74","Sachi Amma","1989-09-23","M","Japan"
"75","Said Belhaj","1981-06-19","M","Sweden"
"76","Sangwon Son","1982-07-20","M","Korea"
"77","Sean Bailey","1996-05-20","M","United States"
"78","Sébastien Bouin","1993-04-07","M","France"
"79","Shawn Raboutou","1998-04-19","M","United States"
"80","Silvio Reffo","1990-04-05","M","Italy"
"81","Stefan Schibli","1971-12-21","M","Switzerland"
"82","Stefano Carnati","1998","M","Italy"
"83","Stefano Ghisolfi","1993-02-18","M","Italy"
"84","Steve McClure","1970-07-25","M","United Kingdom"
"85","Sylvain Millet","1978-04-16","M","France"
"86","Tomas Ravanal","1984-12-10","M","Chile"
"87","Tommy Caldwell","1978-08-11","M","United States"
"88","Toru Nakajima","1993-09-17","M","Japan"
"89","Tristan Chen","1996","M","United States"
"90","Vasya Vorotnikov","1987-05-02","M","United States"
"91","William Bosi","1998-12-27","M","United Kingdom"
"92","Yuji Hirayama","1969-02-23","M","Japan"
"93","Álex Garriga","1998-05-12","M","Spain"
"94","Anatole Bosio","1988-03-10","M","France"
"95","Cody Roth","1983","M","United States"
"96","Enrique Gallardo","1991-07-13","M","Spain"
"97","Hyunbin Min","1989-02-08","M","South Korea"
"98","Pierre Le Cerf","2000-03-12","M","France"
"99","Sindre Sæther","1985-11-21","M","Norway"
